Household income,Home Ownership,Count of household members,Household in urban/rural area,population density,Price of Gasoline Affects Travel,Travel is a Financial Burden,Age,Gender,Educational Attainment,More than One Job,Job Category,Count of Car Share Program Usage,Trip Time to Work in Minutes,Best estimate of annual miles,Count of household vehicles,count of children in household,Relationship,Full-Time or Part-Time Worker,Count of Walk Trips,Count of Bike Trips,Level of Physical Activity,Count of adult household members,Public Transportation or Taxi, Passenger to Friend/Family Member or Rental Car, Bicycle or Walk,Race African,Race Asian,Race American Indian,Race Native Hawaiian,Multiple Response Race
5,2,1,1,6,4,2,55,1,3,2,2,0,8,5766.1384764066,1,0,1,1,7,0,2,1,4,4,2,0,0,0,0,0
9,1,3,1,6,3,3,60,0,4,2,4,0,10,9889.05774937377,3,0,2,1,2,0,2,3,4,3,4,0,0,0,0,0
10,1,3,1,6,2,2,34,0,5,2,4,0,8,39235.6049527671,2,1,1,1,6,0,3,2,3,3,3,0,0,0,0,0
7,1,2,1,6,4,4,50,1,5,2,4,0,20,5196.91750463788,3,0,1,1,5,0,2,2,4,1,2,0,0,0,0,0
7,1,4,1,5,5,4,35,1,3,2,1,0,30,18651.5393062496,2,2,2,2,2,0,3,2,2,3,4,0,0,0,0,0
8,1,2,1,6,2,3,59,1,4,2,2,0,15,20951.0791762839,2,0,2,2,5,0,2,2,3,1,3,0,0,0,0,0
6,1,5,1,6,1,1,54,0,4,2,1,0,90,25811.2340389054,4,0,1,1,4,0,2,5,4,3,4,0,1,0,0,0
8,1,3,1,5,5,3,65,0,5,2,1,0,10,21096.6221806947,3,0,1,1,5,0,2,3,3,3,3,0,0,0,0,0
7,2,1,1,5,2,3,45,0,3,2,3,0,15,15347.7413161149,2,0,1,1,2,0,2,1,3,1,4,0,0,0,0,0
10,2,2,1,8,3,2,28,1,5,2,4,0,45,12394.6128697034,2,0,1,1,14,10,3,2,3,2,3,0,0,0,0,0
6,1,2,1,4,2,3,62,0,3,2,1,0,20,20050.8716939448,2,0,1,1,0,0,2,2,2,3,3,0,0,0,0,0
11,1,2,1,6,3,2,56,0,5,2,4,0,12,8904.02038710927,3,0,1,1,3,1,3,2,3,1,3,0,0,0,0,0
8,1,2,1,4,2,4,59,0,4,2,4,0,17,17253.9646446098,1,0,1,1,2,3,3,2,2,4,4,0,0,0,0,0
3,1,2,1,5,4,4,51,0,4,2,4,0,220,21285.3891714628,1,0,1,1,5,0,2,2,4,4,2,1,0,0,0,0
9,1,5,1,5,5,5,24,1,3,2,1,0,10,8641.26403677507,4,1,7,2,5,0,1,4,4,1,4,0,0,0,0,0
10,1,4,1,6,3,3,44,1,5,2,4,0,2,6752.69895590164,3,0,2,1,2,0,1,2,4,1,2,0,0,0,0,0
6,1,2,1,4,4,4,25,1,4,2,4,0,25,9090.91454637545,2,0,1,1,1,0,2,2,2,3,4,0,0,0,0,0
6,1,1,1,5,4,3,52,0,2,2,2,0,45,9377.51589859741,1,0,1,1,2,0,2,1,4,4,4,0,0,0,0,0
10,2,2,1,7,5,5,38,1,4,2,4,0,20,19750.0132627919,1,0,2,1,12,0,3,2,3,3,3,0,0,0,0,0
6,1,2,1,6,4,2,56,0,3,2,1,0,15,15257.1428571429,4,0,1,1,40,0,2,2,4,2,4,0,0,0,0,0
6,1,2,1,4,4,4,61,0,3,2,1,0,20,33023.2676703195,2,0,1,1,3,0,2,2,4,3,4,0,0,0,0,0
10,1,5,1,6,4,4,34,0,4,2,4,0,25,11198.6378288649,2,2,2,1,6,0,3,2,2,1,3,0,0,0,0,0
10,1,3,1,3,3,3,52,0,3,2,4,0,60,33822.0,5,0,1,1,3,0,3,2,2,2,1,0,0,0,0,0
7,2,2,1,5,2,4,22,1,2,2,4,0,25,22316.5389745008,2,0,3,1,0,0,2,2,1,4,4,0,0,0,0,0
11,1,2,1,5,2,3,75,0,3,2,1,0,20,1307.36103582021,3,0,2,1,10,0,1,2,4,3,4,0,0,0,0,0
10,1,1,1,4,5,5,65,1,5,1,4,0,120,5334.42295466796,2,0,1,1,1,0,2,1,4,4,4,1,0,0,0,0
8,1,3,1,2,4,4,32,1,5,2,4,0,30,16194.0,3,1,2,2,3,0,2,2,2,3,4,0,0,0,0,0
10,2,5,1,6,4,4,31,1,5,2,4,0,10,4708.44738040275,5,0,2,1,0,0,3,2,4,4,4,1,0,0,0,0
7,1,2,1,6,2,2,43,0,3,2,4,0,45,9847.41330367606,3,0,1,1,3,0,2,2,4,4,4,0,0,0,0,0
10,1,2,1,4,4,4,57,1,5,2,4,0,10,2014.32101362258,1,0,1,1,0,0,1,2,4,2,4,0,0,0,0,0
6,1,1,1,6,2,3,62,1,3,2,2,0,10,4283.18819127607,1,0,1,1,0,0,1,1,3,1,4,0,0,0,0,0
5,1,1,1,2,4,4,35,0,5,2,4,0,15,4225.55561702975,1,0,1,1,4,0,2,1,1,1,1,0,0,0,0,0
8,1,1,2,2,4,3,60,0,4,2,4,0,45,17753.8472951548,1,0,1,1,0,0,3,1,3,2,3,0,0,0,0,0
8,1,3,1,6,4,4,39,1,5,2,4,0,7,5325.0,3,1,1,1,5,0,2,2,4,1,4,0,0,0,0,0
10,1,2,1,4,5,4,50,0,5,2,4,0,45,20275.513703837,2,0,1,1,0,2,2,2,4,3,4,0,0,0,0,0
9,1,2,1,5,4,4,65,1,3,2,2,0,10,8685.33333333333,2,0,2,1,3,0,2,2,4,1,2,0,0,0,0,0
9,1,2,1,4,2,4,59,0,5,2,4,0,23,25448.3418579946,2,0,2,1,4,0,2,2,3,3,2,0,0,0,0,0
6,1,4,1,5,4,4,42,0,2,2,3,0,25,14626.9668237369,3,0,2,1,0,0,1,2,4,4,4,0,0,0,0,0
11,1,2,1,6,3,3,50,0,4,2,4,0,90,21972.3769558304,3,0,1,1,22,0,3,2,4,2,4,0,0,0,0,0
11,1,3,1,2,2,3,59,1,5,1,4,0,5,400.0,8,0,1,1,14,1,3,3,1,3,3,0,0,0,0,0
3,1,2,1,3,2,2,59,0,1,2,1,0,35,11778.7350123432,1,0,2,2,4,1,2,2,4,4,4,0,0,0,0,0
5,1,1,1,1,1,2,37,1,3,2,4,0,20,34260.0384076776,1,0,1,2,0,0,2,1,4,1,4,0,0,0,0,0
9,1,6,1,2,2,2,57,0,4,2,4,0,60,14082.5815511464,4,0,1,1,4,0,3,4,4,4,4,0,0,0,0,0
7,1,2,1,6,2,3,60,1,3,1,4,0,1,24915.9949876728,2,0,2,1,2,0,2,2,3,1,2,0,0,0,0,0
7,2,3,1,5,5,5,29,1,4,2,4,0,20,7142.03657294946,3,0,1,1,0,0,2,3,4,4,4,0,0,0,0,0
8,1,2,1,3,5,5,61,0,5,2,4,0,5,7373.14791460162,2,0,1,1,3,0,2,2,1,1,3,0,0,0,0,0
10,1,4,1,3,4,3,49,0,3,2,4,0,60,13037.7995066132,2,0,1,1,0,2,3,2,4,4,4,0,0,0,0,0
6,2,1,2,2,2,2,46,0,3,2,2,0,35,21525.7623896864,2,0,1,1,1,0,3,1,2,3,4,0,0,0,0,1
7,1,2,1,6,5,5,64,1,5,2,4,0,10,7839.30206615443,2,0,1,2,2,0,3,2,4,4,4,0,0,0,0,0
6,2,2,1,5,1,4,30,1,3,2,4,0,8,115302.0,2,0,2,1,6,0,3,2,4,1,2,0,0,0,0,0
9,1,4,2,1,2,2,47,0,3,2,4,0,40,14977.1933822952,5,0,1,1,10,0,1,3,4,3,4,0,0,0,0,0
11,1,1,2,1,3,4,60,0,2,2,1,0,15,14812.8631030623,1,0,1,1,40,0,2,1,4,1,4,0,0,0,0,0
10,1,2,1,5,4,4,61,1,3,2,4,0,5,6430.65817507541,2,0,2,1,3,0,2,2,3,1,3,0,0,0,0,0
8,1,2,1,6,1,3,44,1,4,2,4,0,50,10133.5727862008,2,0,1,1,6,0,2,2,4,1,4,0,0,0,0,0
6,1,2,1,3,2,2,63,1,4,2,2,0,25,21047.2789855773,2,0,1,1,10,0,2,2,4,1,4,0,0,0,0,0
10,2,4,1,6,5,5,41,0,5,2,4,0,30,17789.4430173767,3,0,1,1,10,0,2,2,2,1,4,0,1,0,0,0
