AFV,Household income,Home Ownership,Count of household members,Household in urban/rural area,population density,Price of Gasoline Affects Travel,Travel is a Financial Burden,Age,Gender,Educational Attainment,More than One Job,Job Category,Count of Car Share Program Usage,Trip Time to Work in Minutes,Best estimate of annual miles,Count of household vehicles,count of children in household,Relationship,Full-Time or Part-Time Worker,Count of Walk Trips,Count of Bike Trips,Level of Physical Activity,Count of adult household members,Public Transportation or Taxi, Passenger to Friend/Family Member or Rental Car, Bicycle or Walk,Race White,Race African,Race Asian,Race American Indian,Race Native Hawaiian,Multiple Response Race
0,10,1,2,1,5,5,3,82,0,5,2,4,0,18,8909.45390449316,2,0,1,1,5,0,2,2,1,4,4,1,0,0,0,0,0
1,11,1,2,1,2,5,5,40,1,1,1,4,0,120,16562.5722968569,2,0,2,1,10,0,3,2,3,4,3,1,0,0,0,0,0
0,10,1,2,2,1,3,3,50,1,4,2,4,0,75,40634.0824713347,6,0,1,1,7,1,2,2,4,3,4,1,0,0,0,0,0
0,7,1,4,2,4,5,3,33,0,3,2,3,0,20,18453.7386081291,2,2,1,1,2,0,2,2,1,1,4,1,0,0,0,0,0
0,11,1,3,1,5,2,2,56,1,5,2,2,0,20,6201.92132821941,3,0,1,2,7,0,2,2,2,1,4,1,0,0,0,0,0
0,11,1,2,1,3,4,2,65,0,5,2,4,0,15,8016.04227024725,2,0,2,1,2,2,2,2,4,1,4,1,0,0,0,0,0
0,6,1,3,1,6,2,2,61,1,5,2,2,0,10,10712.0230772502,2,0,1,2,0,0,2,3,3,3,4,1,0,0,0,0,0
0,7,1,1,1,3,4,2,67,1,5,2,4,0,20,9498.9603336818,2,0,1,1,5,0,2,1,2,1,4,1,0,0,0,0,0
0,3,2,1,1,3,1,3,66,1,3,2,1,0,5,8083.86481794444,1,0,1,2,3,0,2,1,4,1,4,1,0,0,0,0,0
0,4,1,1,1,5,3,3,63,1,3,2,2,0,9,11828.58565649,1,0,1,1,4,1,2,1,4,1,4,1,0,0,0,0,0
0,6,1,1,1,5,1,4,49,1,4,1,4,0,25,7071.11507506513,1,0,1,1,16,0,3,1,1,1,4,0,1,0,0,0,0
0,5,1,2,2,1,5,4,51,0,2,2,3,0,20,6794.96825172148,3,0,1,1,7,0,3,2,4,1,4,1,0,0,0,0,0
0,11,1,1,1,5,2,2,51,0,4,2,4,0,13,4370.27542448244,3,0,1,1,0,0,3,1,2,2,4,1,0,0,0,0,0
0,6,1,3,1,5,3,2,23,1,3,2,1,0,2,33600.0,2,1,1,2,0,0,1,2,4,4,4,1,0,0,0,0,0
0,6,1,3,1,5,3,2,26,0,2,2,3,0,10,20815.1071919231,2,1,2,1,0,0,3,2,4,4,4,1,0,0,0,0,0
0,10,1,3,2,2,1,1,41,0,4,2,4,0,100,23377.0463501595,2,0,1,1,7,3,3,2,3,4,3,1,0,0,0,0,0
0,7,1,4,1,6,4,4,63,0,3,2,4,0,10,181.150036102204,4,1,2,1,0,0,1,3,4,1,4,1,0,0,0,0,0
0,10,1,3,1,5,4,3,57,1,4,2,4,0,15,15818.0,2,0,1,1,3,1,2,2,4,1,4,1,0,0,0,0,0
0,6,1,1,1,4,5,4,34,0,5,2,4,0,15,10408.9534230818,1,0,1,1,3,0,2,1,4,2,3,1,0,0,0,0,0
0,8,2,1,1,6,5,5,53,1,3,1,4,0,15,11501.7468174723,1,0,1,1,3,0,3,1,4,4,4,1,0,0,0,0,0
1,11,1,3,1,5,5,5,51,1,5,2,4,0,10,10328.9779977495,3,0,3,1,16,0,2,3,3,3,3,1,0,0,0,0,0
0,10,1,2,1,1,2,3,48,1,5,2,1,0,3,144000.0,2,0,1,1,6,0,3,2,4,4,2,1,0,0,0,0,0
0,7,1,2,1,5,4,3,56,1,4,2,4,0,7,9259.75968996639,2,0,2,1,5,0,2,2,4,1,3,1,0,0,0,0,0
0,7,1,2,1,5,4,3,61,0,4,2,1,0,5,7577.93798948338,2,0,1,2,1,0,3,2,2,1,3,1,0,0,0,0,0
0,7,1,2,1,6,1,2,61,1,3,2,4,0,5,6188.95805953642,3,0,2,1,5,0,3,2,4,4,2,1,0,0,0,0,0
0,11,1,2,1,5,5,3,69,0,5,2,4,0,20,4461.59108788266,3,0,2,1,3,0,2,2,2,3,4,1,0,0,0,0,0
0,10,1,4,1,3,3,3,42,1,4,2,4,0,60,23182.5381105295,2,0,1,1,2,0,2,2,4,2,4,1,0,0,0,0,0
0,10,1,4,1,4,1,3,52,1,4,2,4,0,30,14406.1482870786,5,0,1,1,16,2,2,3,4,3,4,1,0,0,0,0,0
0,8,2,2,1,6,3,2,31,1,5,2,4,0,20,21883.5919662848,2,0,2,1,2,0,2,2,3,4,4,1,0,0,0,0,0
0,6,2,4,2,2,5,4,49,1,3,2,2,0,30,13075.7340352421,3,0,1,1,2,0,2,3,4,4,4,1,0,0,0,0,0
0,11,1,6,2,2,1,2,39,1,4,2,1,0,5,4165.01700635803,5,0,2,1,0,0,2,6,4,4,4,1,0,0,0,0,0
0,8,1,3,1,5,4,3,32,0,5,2,4,0,10,10708.1138250668,2,1,1,1,15,3,2,2,2,1,3,1,0,0,0,0,0
1,8,1,2,1,6,1,3,42,1,4,1,4,0,25,11051.8893562739,2,0,1,1,3,0,3,2,4,4,4,1,0,0,0,0,0
0,4,1,3,1,4,2,3,54,0,3,2,3,0,15,6592.80297838628,2,0,1,1,0,0,2,2,1,3,4,1,0,0,0,0,0
0,10,1,4,1,6,3,2,46,0,3,1,4,0,40,5671.92735347383,2,0,1,1,14,0,2,2,2,3,4,1,0,0,0,0,0
0,8,2,5,1,5,2,2,22,1,3,2,2,0,2,1411.79551689103,4,0,3,2,0,0,2,3,2,1,3,1,0,0,0,0,0
0,8,2,4,1,4,3,2,46,0,5,2,4,0,35,29521.8314647106,2,0,1,1,7,1,2,1,3,3,3,1,0,0,0,0,0
0,3,2,1,1,4,1,1,58,0,3,1,4,0,17,6711.07595572825,1,0,1,2,3,1,2,1,2,3,1,1,0,0,0,0,0
0,7,1,2,2,2,4,2,58,0,3,2,3,0,9,13200.0,4,0,1,1,7,0,3,2,4,3,4,1,0,0,0,0,0
0,8,1,2,1,4,1,3,55,0,3,2,3,0,25,16110.2883693686,3,0,2,1,0,0,2,2,4,1,4,1,0,0,0,0,0
