Household income,Home Ownership,Count of household members,Household in urban/rural area,population density,Price of Gasoline Affects Travel,Travel is a Financial Burden,Age,Gender,Educational Attainment,More than One Job,Job Category,Count of Car Share Program Usage,Trip Time to Work in Minutes,Best estimate of annual miles,Count of household vehicles,count of children in household,Relationship,Full-Time or Part-Time Worker,Count of Walk Trips,Count of Bike Trips,Level of Physical Activity,Count of adult household members,Public Transportation or Taxi, Passenger to Friend/Family Member or Rental Car, Bicycle or Walk,Race African,Race Asian,Race American Indian,Race Native Hawaiian,Multiple Response Race
4,1,1,2,2,4,2,55,0,2,1,1,0,190,5671.38445385677,1,0,1,2,3,0,2,1,4,4,4,0,0,0,0,0
11,1,2,1,5,5,5,77,0,5,1,4,0,30,14360.3922995457,2,0,1,1,4,0,2,2,2,2,2,0,0,0,0,0
7,1,2,1,7,3,4,39,1,4,2,1,0,25,8471.61830542371,2,0,2,1,0,0,1,2,3,3,4,0,0,0,0,0
10,1,3,1,2,5,5,42,1,5,2,4,0,20,3971.70277862082,2,0,1,1,7,2,3,2,4,1,3,0,0,0,0,0
10,1,4,1,5,3,3,28,1,5,2,4,0,35,13159.4515424267,4,1,3,1,1,1,1,3,4,2,4,1,0,0,0,0
8,1,3,2,2,4,3,37,1,5,2,4,0,25,15129.5114401931,2,0,1,1,0,0,2,2,4,4,4,0,0,0,0,0
6,1,3,1,4,2,2,36,1,3,2,2,0,25,14549.8058729049,2,1,1,1,8,0,2,2,2,3,3,0,0,0,0,0
11,1,4,2,2,3,3,46,1,4,2,4,0,30,9489.43886941804,2,0,1,1,2,0,2,2,2,3,4,0,0,0,0,0
9,1,2,1,5,2,3,51,1,4,2,4,0,20,6820.31938404654,2,0,2,1,2,0,2,2,1,4,4,0,1,0,0,0
8,1,1,1,5,3,3,54,0,4,2,4,0,40,14270.1811380996,1,0,1,1,0,0,2,1,1,1,2,0,0,0,0,0
8,1,2,2,1,4,3,54,1,5,2,4,0,45,10500.0,3,0,1,1,3,0,1,2,3,4,4,0,0,0,0,0
4,2,2,1,6,3,3,63,1,4,2,4,0,6,3000.0,2,0,1,1,2,0,3,2,3,4,4,1,0,0,0,0
6,2,2,1,4,4,3,22,0,3,2,1,0,13,2653.18852839851,3,0,1,1,2,0,2,2,3,1,2,0,0,0,0,0
5,1,2,1,6,4,4,50,1,3,2,4,0,20,5489.36447228597,1,0,1,1,2,0,2,2,3,1,3,0,1,0,0,0
10,1,2,1,3,5,4,48,0,4,2,3,0,15,12261.8321407049,2,0,1,1,18,0,2,2,4,3,4,0,0,0,0,0
8,1,4,1,7,1,2,45,0,4,2,3,0,15,10946.3477339496,1,0,2,1,1,0,2,2,2,4,4,1,0,0,0,0
8,1,2,2,2,3,2,59,1,3,2,4,0,40,14525.8020939234,4,0,1,1,14,0,3,2,2,1,4,0,0,0,0,0
10,1,2,1,5,2,4,54,0,4,2,4,0,60,38896.4629560235,1,0,1,1,3,0,1,1,4,1,4,0,0,0,0,0
6,2,1,1,6,4,4,51,0,2,2,3,0,17,3164.93360626866,1,0,1,1,1,0,2,1,1,1,4,0,0,0,0,0
6,2,1,2,2,1,2,48,0,3,2,3,0,25,8892.5387676936,1,0,1,1,6,0,3,1,4,4,2,0,0,0,0,0
4,2,2,2,1,2,2,64,1,3,2,1,0,50,17847.168085658,2,0,2,2,7,0,3,2,4,4,4,0,0,0,0,0
8,2,1,1,5,1,2,38,1,5,2,4,0,35,18566.5039755434,1,0,1,1,3,0,3,1,4,4,4,0,0,0,0,0
6,2,3,1,8,2,2,23,0,4,2,1,0,30,13914.2881678585,3,0,7,1,16,0,2,3,3,1,2,0,0,0,0,0
8,1,2,1,5,4,4,30,0,4,2,4,0,30,5391.986922397,2,0,2,1,1,0,2,2,3,3,3,0,0,0,0,0
10,1,3,1,7,1,2,26,0,4,2,1,0,75,17535.0554241607,3,0,1,1,15,0,2,3,4,2,4,0,0,0,0,0
10,1,4,1,4,5,5,46,0,4,2,1,0,7,6494.44376006328,5,0,1,1,0,0,3,3,4,4,4,0,0,0,0,0
6,1,4,1,7,4,4,22,1,4,2,1,0,18,4137.97063043797,3,0,3,1,7,0,2,4,1,4,4,0,0,0,0,0
7,1,2,2,2,3,3,65,0,2,2,3,0,5,1000.0,5,0,1,1,1,0,2,2,4,4,4,0,0,0,0,0
6,2,1,1,6,4,4,39,1,5,2,4,0,10,42163.6054807449,1,0,1,1,1,0,3,1,2,2,2,1,0,0,0,0
7,1,2,2,1,2,3,55,0,2,2,1,0,30,31146.2145587376,3,0,2,1,2,0,2,2,4,3,4,0,0,0,0,0
9,1,2,2,1,5,5,65,0,5,2,4,0,15,10091.0655008042,3,0,1,1,5,0,1,2,2,1,4,0,0,0,0,0
6,1,2,1,3,1,1,39,1,3,2,2,0,5,16106.7269066599,2,0,1,1,0,0,2,2,4,1,4,0,0,0,0,0
8,1,2,2,2,3,2,62,1,4,2,4,0,60,15077.8069588786,2,0,1,1,7,0,2,2,2,3,4,0,0,0,0,0
7,1,3,1,6,2,2,53,1,3,2,2,0,15,7938.53555690956,4,0,1,1,0,0,3,2,4,1,4,0,0,0,0,0
7,1,1,1,8,5,4,65,1,3,2,2,0,6,1939.29466715187,1,0,1,1,30,0,1,1,3,2,2,0,0,0,0,0
10,1,3,2,2,2,2,62,0,5,2,4,0,40,32905.767507909,3,0,2,1,0,0,3,3,4,3,1,0,1,0,0,0
8,1,2,1,5,4,4,59,1,5,2,4,0,17,18322.9225454435,3,0,2,1,7,0,3,2,3,3,2,0,0,0,0,0
8,1,4,2,1,4,2,37,0,4,1,3,0,45,32128.5692708396,2,0,1,1,5,0,2,2,4,1,4,0,0,0,0,0
7,1,2,2,1,5,4,53,1,4,2,2,0,15,9753.56378404195,2,0,1,1,5,0,2,2,4,1,4,0,0,0,0,0
7,1,2,2,1,2,2,61,1,3,2,2,0,20,14147.6301267183,3,0,2,1,12,0,2,2,4,1,3,0,0,0,0,0
8,1,5,1,5,4,4,37,0,4,1,4,0,45,7809.86491168236,3,0,3,1,0,0,1,4,4,1,4,0,0,0,0,0
4,1,1,1,3,1,1,70,1,2,2,2,0,25,15517.1270187523,1,0,1,2,2,0,2,1,4,1,4,0,0,0,0,0
7,1,2,1,5,3,3,32,1,5,2,4,0,40,11657.2627967918,2,0,1,1,6,0,3,2,3,3,2,0,0,0,0,0
2,1,1,1,3,2,3,56,0,3,2,3,0,40,12907.5725863105,2,0,1,1,0,0,3,1,4,4,4,0,0,0,0,0
7,1,1,1,6,2,3,52,0,2,2,1,0,20,6630.57057389648,3,0,1,1,2,0,2,1,3,1,1,0,0,0,0,0
6,2,2,1,5,5,5,24,0,4,2,4,0,15,15548.7863789685,1,0,1,1,40,0,2,2,3,2,2,0,0,0,0,0
7,2,2,1,5,4,4,28,0,5,2,4,0,20,12159.8168777271,3,0,7,1,12,0,3,2,3,3,3,0,0,0,0,0
11,1,4,1,5,3,2,36,0,4,1,4,0,70,13461.6,2,2,1,1,5,0,1,2,3,1,4,0,0,0,0,0
8,2,2,1,5,3,3,46,1,4,2,2,0,15,14118.3060186288,2,0,1,1,0,0,2,2,3,3,4,0,0,0,0,0
11,1,2,1,6,2,2,38,0,5,2,4,0,6,20200.0,3,0,2,1,25,2,3,2,2,4,4,0,0,0,0,1
7,1,2,2,1,2,3,68,0,5,2,4,0,10,13595.5809468051,1,0,1,1,4,0,3,2,2,1,4,0,0,0,0,0
11,1,3,1,5,2,2,56,1,5,2,2,0,20,6201.92132821941,3,0,1,2,7,0,2,2,2,1,4,0,0,0,0,0
9,1,3,1,3,2,2,51,0,4,2,1,0,20,14034.1783634161,3,0,3,2,0,0,1,3,4,1,4,0,0,0,0,0
8,2,2,1,6,3,2,60,1,2,1,2,0,20,7213.7502881167,3,0,1,1,2,0,2,2,3,1,3,0,0,0,0,0
9,1,3,1,6,5,5,30,0,5,2,4,0,55,18180.833134312,2,1,1,1,3,0,2,2,2,3,3,0,0,0,0,0
3,1,1,2,1,4,3,68,0,4,2,1,0,35,9245.71071207537,2,0,1,2,5,3,3,1,2,1,4,0,0,0,0,0
9,2,1,1,4,2,2,47,0,4,2,1,0,90,29729.2280607605,2,0,1,1,3,0,3,1,3,3,2,0,0,0,0,0
8,1,2,1,6,1,4,27,0,3,2,4,0,7,12067.5421782219,2,0,2,1,2,0,1,2,4,4,4,0,1,0,0,0
9,1,3,1,4,2,2,47,0,4,2,1,0,45,15355.2615238169,4,0,1,1,6,0,2,2,3,1,4,0,0,0,0,0
8,1,1,1,5,3,3,55,0,3,2,1,0,40,16204.7087343609,5,0,1,1,7,0,3,1,4,1,4,0,0,0,0,0
6,1,4,2,1,3,3,34,1,4,2,4,0,30,5381.09398503021,2,2,2,1,3,0,2,2,4,1,4,0,0,0,0,0
8,1,2,1,6,2,2,27,1,5,2,4,0,20,9142.88627938271,2,0,2,1,7,0,2,2,2,1,4,0,0,0,0,0
6,1,2,1,3,2,4,24,1,2,1,1,0,5,6349.2956351254,3,0,2,1,0,0,2,2,4,3,2,0,0,0,0,0
5,2,3,1,3,1,2,22,0,2,2,4,0,25,20230.7721371459,2,1,1,1,7,0,3,2,4,1,4,0,0,0,0,0
7,2,3,1,5,4,2,26,1,5,2,4,0,30,16303.1009526513,2,0,1,1,14,0,2,2,2,4,4,0,0,0,0,0
7,1,2,2,1,3,2,32,0,3,2,3,0,45,28271.26383513,2,0,2,1,0,0,3,2,4,4,4,0,0,0,0,0
8,1,1,2,1,2,2,50,1,5,2,4,0,20,8775.76763526239,3,0,1,1,15,0,2,1,4,1,4,0,0,0,0,0
8,1,4,2,2,3,2,36,1,3,2,2,0,25,165192.0,3,0,3,1,0,0,3,3,4,4,4,0,0,0,0,0
5,1,1,1,3,4,3,35,1,4,2,4,0,20,9296.20325747621,1,0,1,1,2,0,2,1,1,3,2,0,0,0,0,0
5,1,2,1,5,2,2,38,0,3,2,1,0,35,18395.8451418501,2,0,1,1,14,0,2,2,4,3,4,0,0,0,0,0
5,1,1,1,3,4,3,28,0,3,2,4,0,25,15143.4158839375,1,0,1,1,2,0,2,1,2,3,3,0,0,0,0,0
2,1,2,2,1,2,4,65,0,4,2,1,0,10,3207.8931752454,3,0,1,2,28,0,3,2,4,3,3,0,0,0,0,0
5,1,2,2,1,2,3,68,1,5,2,4,0,10,3661.11848634009,2,0,1,1,3,0,3,1,4,3,4,0,0,0,0,0
5,1,1,1,5,1,2,60,1,2,2,2,0,9,12530.0499034099,1,0,1,1,0,0,2,1,4,4,4,0,0,0,0,0
11,1,2,1,6,4,4,33,0,5,2,4,0,20,9701.9751763569,2,0,2,1,2,0,3,2,1,3,3,0,1,0,0,0
6,1,2,2,1,2,4,58,1,5,1,4,0,7,21119.307560557,2,0,1,2,0,0,2,2,4,3,3,0,0,0,0,1
6,1,1,1,4,3,3,43,1,4,1,2,0,90,6102.220677354,2,0,1,1,6,0,2,1,4,4,4,0,0,0,0,0
2,2,1,1,6,4,2,22,1,4,2,2,0,15,7654.16722400208,1,0,1,2,2,0,2,1,3,1,3,0,0,0,0,0
10,1,1,1,7,4,4,51,0,5,2,4,0,20,5216.09860828892,1,0,1,1,1,0,2,1,3,2,4,0,0,0,0,0
7,1,2,2,1,2,3,62,1,2,2,4,0,10,9283.04469008926,2,0,1,1,5,0,3,2,4,2,4,0,0,0,0,0
11,1,2,1,4,4,4,64,1,3,2,4,0,45,9526.82287060224,3,0,2,1,4,0,3,2,4,3,2,0,0,0,0,0
7,1,2,1,6,5,5,59,0,2,2,3,0,7,16014.9049891513,3,0,1,1,3,0,2,2,4,4,4,0,0,0,0,0
10,1,3,2,5,2,2,35,1,4,2,4,0,45,11382.2521215532,2,1,1,1,1,0,2,2,4,3,4,0,0,0,0,0
11,1,4,1,5,4,4,38,1,5,2,4,0,25,17254.3928127667,2,2,1,1,2,0,2,2,2,3,4,0,0,0,0,0
8,2,1,1,4,4,3,55,1,5,2,4,0,30,17187.5296262774,1,0,1,1,0,0,3,1,4,4,3,0,0,0,0,0
5,1,1,1,6,1,2,50,1,5,2,4,0,25,14786.6666666667,1,0,1,1,14,0,2,1,3,2,4,0,0,0,0,0
9,1,2,1,2,2,4,62,0,4,2,4,0,22,11822.6417357234,3,0,1,1,5,0,3,2,4,4,4,0,0,0,0,0
6,1,2,2,1,4,4,56,1,5,2,4,0,6,6026.34800289445,3,0,2,2,7,0,2,2,4,3,3,0,0,0,0,0
6,1,3,1,5,5,4,45,1,4,2,4,0,35,6197.37387543403,2,0,1,1,0,0,2,3,3,3,3,0,0,0,0,0
10,1,4,1,7,5,5,45,1,5,2,4,0,10,11427.6774923822,2,0,1,1,2,0,3,2,3,3,3,0,0,0,0,0
7,1,3,1,7,4,3,34,0,2,2,4,0,20,24920.5222278189,3,0,2,1,15,0,2,3,3,3,2,0,0,0,0,0
11,1,2,1,2,5,5,57,1,4,2,4,0,60,1342.48854901788,2,0,2,1,0,0,2,2,4,3,4,0,0,0,0,0
3,2,3,1,2,2,2,35,1,4,2,4,0,20,9238.9319085174,1,0,1,1,5,1,2,1,4,3,4,0,0,0,0,0
8,1,4,1,4,4,2,32,0,5,1,4,0,30,5518.75405909611,2,2,1,1,7,0,3,2,4,3,4,0,0,0,0,0
6,1,1,1,3,1,3,24,1,3,2,4,0,65,4901.16633851803,1,0,1,1,7,0,3,1,1,4,4,0,0,0,0,0
9,1,2,1,2,3,3,64,0,3,2,4,0,60,8789.47005595544,6,0,2,1,0,0,2,2,2,3,4,0,0,0,0,0
8,1,2,1,5,2,3,23,0,3,2,4,0,5,15730.7922542445,2,0,1,2,5,0,3,2,4,4,4,0,0,0,0,0
11,1,3,1,4,4,3,56,1,3,2,4,0,10,11294.3821778152,5,0,1,1,3,0,3,1,2,3,3,0,0,0,0,0
7,1,2,1,6,1,1,51,0,3,2,3,0,30,5000.0,3,0,1,1,7,7,3,2,4,4,4,0,0,0,0,0
6,1,2,1,4,2,3,49,1,5,2,4,0,20,19475.1198104488,2,0,1,1,4,2,3,1,4,1,4,0,0,1,0,0
6,1,1,1,6,2,4,24,1,4,2,4,0,22,5033.97310465956,1,0,1,1,5,0,2,1,3,1,2,0,0,0,0,0
11,1,3,2,2,4,4,41,0,4,2,4,0,25,21427.9432959324,1,0,1,1,2,0,3,1,2,3,4,0,0,0,0,0
11,2,1,1,8,2,3,33,0,5,2,4,0,15,20407.9437166707,1,0,1,1,9,1,3,1,2,1,1,0,0,0,0,0
8,1,2,1,5,4,3,59,1,5,2,4,0,5,12980.1543720458,2,0,2,1,2,0,2,2,2,4,2,0,0,0,0,0
7,2,1,1,5,4,4,24,0,4,2,4,0,20,20746.6965751851,2,0,1,1,5,0,2,1,4,1,3,0,0,0,0,0
9,1,1,1,2,1,2,58,0,5,1,4,0,35,27574.5268909735,3,0,1,1,3,0,3,1,3,3,3,0,0,0,0,0
7,1,3,2,1,4,2,26,1,3,2,1,0,25,14351.7730460477,4,0,3,1,4,0,3,3,4,4,4,0,0,0,0,0
5,1,2,1,6,3,2,36,1,3,2,1,0,6,34587.6,1,0,1,1,0,0,2,1,1,1,4,0,0,0,0,0
8,2,2,1,8,4,2,63,0,5,2,1,0,10,11316.5685790538,1,0,1,2,30,0,2,2,1,4,4,0,0,0,0,0
10,1,4,1,5,2,3,36,0,4,2,1,0,25,38010.744792669,3,1,2,1,0,0,2,2,4,4,4,0,0,0,0,0
11,1,2,1,5,4,3,66,1,4,2,4,0,50,15032.8379752017,2,0,2,1,0,0,1,2,3,3,2,0,0,0,0,0
8,1,2,1,3,4,3,59,0,3,1,1,0,10,10447.4634308446,4,0,1,1,14,0,2,2,2,3,4,0,0,0,0,0
9,1,2,1,6,3,2,40,0,5,2,4,0,25,7432.85403449267,2,0,1,1,5,2,2,2,3,1,4,1,0,0,0,0
11,1,2,1,5,5,3,69,0,5,2,4,0,20,4461.59108788266,3,0,2,1,3,0,2,2,2,3,4,0,0,0,0,0
11,1,2,1,6,5,5,47,1,5,2,4,0,15,3167.36817058117,2,0,2,1,4,0,2,2,2,1,4,0,0,0,0,0
6,1,1,2,1,2,2,63,1,5,2,1,0,20,14301.6597008894,1,0,1,2,14,0,3,1,4,3,4,0,0,0,0,1
4,1,1,2,1,5,4,71,1,4,2,2,0,35,4571.17310673356,1,0,1,2,3,0,2,1,4,3,4,0,0,0,0,0
11,1,3,1,5,4,4,50,1,4,2,4,0,10,20762.227290706,3,0,1,1,5,0,3,2,1,4,3,0,0,0,0,0
7,1,2,1,6,1,2,74,0,2,2,3,0,30,9355.25778045084,2,0,1,2,7,0,2,2,4,4,4,0,0,0,0,0
9,1,3,1,5,5,5,57,1,4,1,1,0,15,3315.63522387178,3,0,1,2,2,0,3,3,1,3,1,0,0,0,0,0
8,2,5,1,2,3,2,36,1,3,2,4,0,45,18816.5588049432,3,0,1,1,15,0,2,2,4,2,4,0,0,0,0,0
7,1,2,1,6,2,4,30,1,4,2,1,0,40,10042.6000693451,4,0,1,1,0,0,2,2,1,4,3,0,0,0,0,0
6,1,1,1,7,4,5,67,0,4,2,4,0,45,3167.76081161905,1,0,1,2,2,0,2,1,2,1,4,0,0,0,0,0
5,2,3,1,5,3,3,30,0,3,2,1,0,20,15884.860008979,2,1,2,1,3,0,3,2,4,2,4,0,0,0,0,0
7,2,1,1,5,4,4,31,1,5,2,4,0,15,6208.73829554395,1,0,1,1,0,0,2,1,2,2,4,1,0,0,0,0
9,1,2,1,6,4,4,50,1,4,2,2,0,27,13204.6281715893,2,0,2,1,0,0,2,2,3,3,4,0,0,0,0,0
7,1,1,1,4,4,4,63,0,3,2,4,0,20,5805.71658207255,2,0,1,1,3,0,2,1,4,4,4,0,0,0,0,0
5,1,1,1,2,2,4,58,0,3,2,3,0,10,2725.00472325885,2,0,1,2,7,0,2,1,4,4,4,0,0,0,0,0
10,1,5,1,4,4,3,36,1,4,1,4,0,25,17019.5186834797,4,1,2,2,6,0,2,4,4,3,4,0,1,0,0,0
10,1,2,1,5,4,4,43,1,5,2,4,0,300,5690.08317954816,1,0,1,1,20,0,2,1,1,1,2,0,0,0,0,0
9,1,2,1,5,5,4,28,0,5,2,4,0,18,11011.899666015,2,0,1,1,10,0,3,2,3,3,3,0,0,0,0,0
3,1,1,1,6,2,3,61,1,4,2,1,0,5,17265.3806400082,3,0,1,2,5,0,2,1,4,3,3,0,0,0,0,0
3,1,1,2,1,5,5,71,1,2,1,1,0,15,15654.3758856814,1,0,1,1,5,0,1,1,4,1,4,1,0,0,0,0
9,2,2,1,7,2,4,55,1,3,2,2,0,15,9531.34915391276,3,0,2,1,0,0,1,2,4,3,4,0,0,0,0,0
10,1,2,1,2,4,3,48,1,4,2,4,0,35,9998.45113836095,2,0,2,1,21,0,1,2,4,4,4,0,0,0,0,0
8,1,2,1,5,4,3,57,1,2,2,3,0,90,35659.4347190912,3,0,1,2,3,0,2,2,4,4,4,0,0,0,0,0
9,1,2,1,4,4,3,53,1,5,2,4,0,30,29956.3985235173,4,0,1,1,5,0,3,2,3,1,3,0,0,0,0,0
6,1,1,2,1,4,4,48,1,5,2,4,0,30,13887.0527654956,1,0,1,1,4,1,3,1,2,3,3,0,0,0,0,0
9,1,4,1,6,5,2,45,0,5,2,4,0,65,24363.4456159018,2,0,1,1,2,0,2,2,3,3,3,0,0,0,0,0
